SiteId,SiteName,County,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
1,基隆,基隆市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
2,汐止,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
3,萬里,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,8
4,新店,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,7
5,土城,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,7
6,板橋,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
7,新莊,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,10
8,菜寮,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,10
9,林口,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
10,淡水,新北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,7
11,士林,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,7
12,中山,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
13,萬華,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,10
14,古亭,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,8
15,松山,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
16,大同,臺北市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,11
17,桃園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,10
18,大園,桃園市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
19,觀音,桃園市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,11
20,平鎮,桃園市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
21,龍潭,桃園市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,8
22,湖口,新竹縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,11
23,竹東,新竹縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,8
24,新竹,新竹市,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,11
25,頭份,苗栗縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,9
26,苗栗,苗栗縣,33,細懸浮微粒,PM2.5,μg/m3,2021-11-24 00:00:00,8
